segment_id,s_start_m,s_end_m,segment_length_m,radius_mean_m,diameter_mean_m,diameter_prox_m,diameter_dist_m,cross_section_area_m2,curvature_mean_per_m,resistance_segment
43,0.0118673192337155,0.012166584841907,0.0002992659,0.0008228274993932,0.0016456549987864,0.0016440234537342573,0.0016176033774820883,2.1269998926983547e-06,394.32604999999415,5818757.1046854025
44,0.012166584841907,0.0124508403241634,0.00028425522,0.000795479364151,0.001590958728302,0.0016176033774820883,0.0016194453465543284,1.987960306155177e-06,360.43744,6327045.360884965
45,0.0124508403241634,0.0127236479893326,0.0002728077,0.0008233923618128,0.0016467847236256,0.0016194453465543284,0.0017608885833278133,2.1299212211722326e-06,245.2276599999997,5289778.217281804
46,0.0127236479893326,0.0129962880164384,0.00027264009,0.000937461163574,0.001874922327148,0.0017608885833278133,0.0023043241084067367,2.7609366575003377e-06,201.9748,3146188.6240907684
47,0.0129962880164384,0.0133045082911849,0.00030822004,0.0013948819812829,0.0027897639625658,0.0023043241084067367,0.002829107810348369,6.11258344827063e-06,451.91460000006424,725636.6290241143
48,0.0133045082911849,0.0135895861312747,0.00028507796,0.0014327487808291,0.0028654975616582,0.002829107810348369,0.0028069379910343004,6.44896422658439e-06,830.5588400000016,602964.32311176
49,0.0135895861312747,0.0138454930856823,0.000255907,0.0013771852946075,0.002754370589215,0.0028069379910343004,0.002814568478942873,5.958468203492002e-06,1077.802200000001,634046.1362439429
50,0.0138454930856823,0.0140865435823798,0.00024105012,0.0014356358160291,0.0028712716320582,0.002814568478942873,0.0028525196260314966,6.474980155268263e-06,1201.9776999999747,505752.891139065
51,0.0140865435823798,0.0143379922956228,0.0002514485,0.0014164793565331,0.0028329587130662,0.0028525196260314966,0.0032114428767408103,6.303334751990517e-06,1128.214499999997,556693.6197445566
52,0.0143379922956228,0.0146361365914344,0.00029814392,0.0018301069462524,0.0036602138925048,0.0032114428767408103,0.0030634117593000528,1.0522109366052691e-05,653.3064,236879.9202789662
53,0.0146361365914344,0.0149170979857444,0.00028096116,0.0012505025129783,0.0025010050259566,0.0030634117593000528,0.0025352225720315265,4.91268604224997e-06,241.42330999999953,1024038.2609682672
54,0.0149170979857444,0.0152084780856966,0.00029137966,0.0012853544923732,0.0025707089847464,0.0025352225720315265,0.0026220460163762314,5.1903388577449264e-06,166.51326,951427.5171857288
55,0.0152084780856966,0.0155083648860454,0.00029988674,0.0013374409038464,0.0026748818076928,0.0026220460163762314,0.0026719337399450584,5.619518114020462e-06,78.79095,835347.2071884042
56,0.0155083648860454,0.0158065352588892,0.00029817046,0.0013345012728564,0.0026690025457128,0.0026719337399450584,0.0025878071360006362,5.594842399042917e-06,38.394863,837908.9150977206
57,0.0158065352588892,0.0160997025668621,0.00029316824,0.0012539870607732,0.0025079741215464,0.0025878071360006362,0.0025197058476675986,4.940102764131078e-06,86.04777500001228,1056702.811401878
58,0.0160997025668621,0.0163896717131137,0.0002899693,0.0012656547962031,0.0025313095924062,0.0025197058476675986,0.0025685346695313496,5.032460921515934e-06,159.79309,1007161.4360340748
59,0.0163896717131137,0.016675604507327,0.00028593198,0.0013026207879775,0.002605241575955,0.0025685346695313496,0.002579601200027327,5.330720128156964e-06,272.6699799999796,885113.307606978
60,0.016675604507327,0.016962356865406,0.00028675166,0.0012769436657828,0.0025538873315656,0.002579601200027327,0.0025847697916142483,5.12263425158412e-06,324.11809999999934,961229.6276787842
61,0.016962356865406,0.0172590184956789,0.00029666093,0.0013083597268534,0.0026167194537068,0.0025847697916142483,0.0026454979257149644,5.377794561691832e-06,268.9082599999835,902318.4626920428
62,0.0172590184956789,0.017564246430993,0.00030522808,0.0013375536977746,0.0026751073955492,0.0026454979257149644,0.0026707180908008233,5.620466005249147e-06,173.7453599999852,849938.9576789587
63,0.017564246430993,0.0178709421306848,0.00030669585,0.0013331538394949,0.0026663076789898,0.0026707180908008233,0.002667557891454738,5.583549983533651e-06,80.53394,865356.3274070596
64,0.0178709421306848,0.0181760564446449,0.00030511498,0.0013344008287843,0.0026688016575686,0.002667557891454738,0.0026589388024752733,5.594000215350396e-06,82.33971000001303,857682.4388455844
65,0.0181760564446449,0.0184783935546875,0.00030233673,0.0013245828604081,0.0026491657208162,0.0026589388024752733,0.002618381039505261,5.511986370017895e-06,163.79568,875351.6313059279
66,0.0184783935546875,0.0187795143574476,0.00030112048,0.0012938601027427,0.0025877202054854,0.002618381039505261,0.002579324192305233,5.259258471485187e-06,185.37493999999919,957633.2310893538
67,0.0187795143574476,0.0190790593624115,0.00029954468,0.001285486058186,0.002570972116372,0.002579324192305233,0.002554891443413996,5.191401453477184e-06,180.35751000000076,977687.998407832
68,0.0190790593624115,0.0193732902407646,0.00029423094,0.0012695480261178,0.0025390960522356,0.002554891443413996,0.0024789637484052677,5.06346884145847e-06,185.00222999999738,1009485.2621164032
