s_m,r_m,area_m2,dA_ds,kappa_per_m,Rc_m,r_mis_m,r_voreen_m
0.020629238337278366,0.0011722383101861137,4.316996472659261e-06,-0.0005002012166073167,58.463818,0.017104596,0.001026966228266362,0.0012242175340652466
0.02090649213641882,0.0011736048773172863,4.327067640204075e-06,-0.00025849166793354226,108.78081,0.009192798,0.0010288542279761578,0.0011746824979782106
0.021187812089920044,0.0011521346266997708,4.1701946928352e-06,-0.0004279514773946726,169.09998,0.0059136613,0.0010030334168514702,0.0011347848176956176
0.021475941874086857,0.0011403272746913897,4.0851583624841545e-06,-0.00026241347090680874,183.70544,0.0054434966,0.000952223519065144,0.0011907302737236022
0.021771825850009918,0.0011308385896784635,4.017455854850846e-06,-5.4158563398534754e-05,179.76926,0.0055626864,0.0010112579840426022,0.0011829099655151368
0.022076268680393696,0.0011362053305615152,4.055678473181339e-06,-0.00026700918507187397,169.04892,0.0059154476,0.0010280101777612183,0.0011407856941223144
0.02238563448190689,0.0011069720184234567,3.849666952741043e-06,-0.00013195253711174252,161.73495,0.006182955,0.0010098591983697207,0.001137414574623108
0.02269164379686117,0.001124269054368099,3.970913130482924e-06,8.896960503436586e-05,136.66959,0.0073169167,0.0010168770135885895,0.0011188228726387024
0.022990960627794266,0.0011152688300762588,3.90759011054243e-06,-0.0008946812911470609,76.899895,0.013003919,0.0010105362424992538,0.0011141773462295533
0.023286945186555386,0.0010468469649121805,3.4428354742117028e-06,-0.0015146070179757653,105.66069,0.009464257,0.0009494359703358735,0.0010740296244621276
0.02358618937432766,0.0009782495679716233,3.0064168873602512e-06,-0.0008396175475293925,203.6388,0.004910656,0.0008722734762462018,0.001017561137676239
0.0238981069996953,0.0009683225273309282,2.94570969245725e-06,0.00032823679554953595,234.15881,0.0042706057,0.0008690579380184503,0.0010195916891098022
0.024228899739682674,0.0010151828433640686,3.237713467893025e-06,0.00025457554753204915,192.50742,0.005194605,0.0009013845214430413,0.0010244170427322389
0.024573884904384613,0.0009932835043414798,3.0995333881248824e-06,-9.240992711043519e-05,137.66565,0.007263976,0.0008964020463656108,0.001024713099002838
0.024920218624174595,0.0010052492806497542,3.1746614230617244e-06,0.00031899191141962144,138.38452,0.0072262418,0.0008712266436831526,0.0010481310486793519
0.025256565771996975,0.0010272734801712545,3.315293834304099e-06,-0.00020456298723990542,178.70148,0.005595925,0.0008790512474366741,0.0010544421672821045
0.025578593835234642,0.0009865149785002272,3.0574350500800205e-06,-0.0007837548563479424,184.39917,0.005423018,0.0008557726580446125,0.0010097069144248962
0.025887494906783104,0.0009474964623701107,2.8203633791176626e-06,-0.00032994954268285043,124.16024,0.008054108,0.0008467419665762204,0.0009809519946575166
0.026187618263065815,0.0009522804918859935,2.8489160236230475e-06,0.0006982217035135883,96.940765,0.0103155775,0.0008377802800554602,0.001004036396741867
0.026486813090741634,0.0010151810628848822,3.237702110970627e-06,0.000577001136005657,151.99493,0.0065791667,0.0008177131380794573,0.001031845271587372
0.026793014258146286,0.0010073570412195542,3.187988348903157e-06,-0.00047077441804207944,208.15591,0.004804091,0.000744397340879023,0.001022999107837677
0.027107729576528072,0.0009673944217997907,2.9400656654094454e-06,-0.0011230455833736268,230.33821,0.004341442,0.0007497227391851445,0.0009669406116008759
0.02742768358439207,0.0008869956915626151,2.471683698810314e-06,-0.0008841427966217699,195.15134,0.005124228,0.0007271679982602051,0.0009103979766368867
0.027750307694077492,0.0008694825621559493,2.375043813300738e-06,0.00023022145403599507,122.737114,0.008147495,0.0007482592127591729,0.0009010780453681946
0.028074360452592373,0.0009135829847890084,2.622079634730791e-06,0.0007304563554905077,81.069046,0.0123351645,0.0008010253214269969,0.0009366270303726197
0.02840069029480219,0.0009524573355011466,2.8499742399648405e-06,0.0005829545127915368,76.15309,0.013131443,0.0008380364489367144,0.000981121301651001
0.02873336523771286,0.000977981712798448,3.0047707346919695e-06,0.00036135357585607205,78.82166,0.012686867,0.000888287583305768,0.0010057427883148195
0.029075097292661667,0.0009920379734805055,3.0917649232517726e-06,-2.8081102566969787e-06,75.25611,0.013287958,0.0009081368091861345,0.0010208401083946228
0.029419507831335068,0.0009774427504399483,3.0014598096270583e-06,-0.0008725460263216255,123.96523,0.008066778,0.0008532427908948067,0.0009742599725723267
0.029752583242952824,0.00089459836920761,2.5142362110827506e-06,-0.0008628564164487118,208.49695,0.0047962335,0.0006962096472958655,0.0008967810571193695
0.030066155828535557,0.0008778143142656077,2.42077925875253e-06,0.0006858380280629255,222.73029,0.0044897352,0.0006818958412427944,0.0009283025860786438
0.030364735051989555,0.0009616537036836794,2.905275286594697e-06,0.0012962235587585516,142.44705,0.007020152,0.000764288412831466,0.0009982586205005647
0.030658142641186714,0.0010079075676982115,3.19147380938323e-06,0.0008352917910812892,113.76861,0.008789771,0.000787741370893907,0.0010258933305740358
0.03095577284693718,0.0010399733222184204,3.397772290055545e-06,-6.59814542781998e-05,193.78256,0.005160423,0.0008320177882636553,0.0010508934259414672
0.03126681875437498,0.0009982306307513955,3.130485214006124e-06,-0.0009630599850200044,213.31699,0.004687859,0.0007900505259485971,0.001020685225725174
0.0315938051789999,0.0009406779306389622,2.779916702556569e-06,-0.001614518792233825,170.07266,0.00587984,0.0007066680223866125,0.0009626180529594421
0.0319270770996809,0.0008092928735982641,2.0576016758674217e-06,-0.001638195336035197,190.87738,0.0052389656,0.0006363884188090661,0.0008757902383804321
0.0322539359331131,0.0007338308578536229,1.69177192199193e-06,-0.000710027458634104,257.7627,0.0038795373,0.0006201459244144721,0.0007782112061977387
0.03256623260676861,0.0007118926835610768,1.592131488543125e-06,7.357333018460314e-05,281.49426,0.0035524704,0.0005468590554197719,0.0007588584125041962
0.032862214371562004,0.0007407979352837441,1.7240481830457325e-06,0.0007205603952502946,226.91464,0.0044069435,0.0004831396394385599,0.0007845902740955353
0.033148085698485374,0.0007990662765173603,2.0059286311284957e-06,0.0011231811309129892,115.24573,0.008677111,0.0005472891731548363,0.0008404064774513245
0.03343081660568714,0.0008670613487556793,2.361834850683634e-06,0.0011007645657078778,44.45579,0.022494256,0.0007148244483715774,0.0008946915566921235
0.03371309116482735,0.0009146156609986182,2.6280107645193758e-06,0.0006412726003000831,62.701912,0.015948476,0.0007967351763501191,0.000925025075674057
0.033998165279626846,0.0009311628018647892,2.7239624064834914e-06,0.0008514278686397245,90.24572,0.011080858,0.0008128903856356322,0.0009823269844055176
0.034288667142391205,0.000997150507644059,3.1237142735827407e-06,0.0015854331726764459,117.59013,0.008504115,0.0008371693063476396,0.0010460245013237
0.03458113968372345,0.0010777434862736636,3.6490573262768463e-06,0.0015584247865204383,209.05264,0.004783484,0.0009159701263789167,0.0011055036783218385
0.03487149998545647,0.0011330264640460927,4.033016327641049e-06,0.001371364243110307,260.02243,0.003845822,0.0009744837447408198,0.0011917763352394105
0.03516131639480591,0.0011894419311249545,4.444637659483118e-06,0.0012210228935598168,244.88144,0.0040836087,0.000935619969299075,0.0012410123348236084
0.03537927754223347,0.0012202822372971893,4.678110241927079e-06,0.0008484378486635913,269.1069,0.0037159952,0.0008886034064867908,0.0012600488662719727
0.03567231819033623,0.0012410870647577832,4.838986060959883e-06,0.0005489880672676843,305.39557,0.0032744417,0.000935854053572395,0.0013089556097984315
