"U:0","U:1","U:2","p","Cell Type"
2.11875001e-03,6.98160985e-03,-1.03375001e-03,8.79084989e-02,5
2.11875001e-03,6.98160985e-03,-1.03375001e-03,8.79084989e-02,5
4.33601020e-03,1.29044997e-02,-3.20994994e-03,8.79772976e-02,5
4.33601020e-03,1.29044997e-02,-3.20994994e-03,8.79772976e-02,5
4.26829979e-03,1.39822997e-02,-3.56022990e-03,8.79708976e-02,5
4.26829979e-03,1.39822997e-02,-3.56022990e-03,8.79708976e-02,5
2.11597001e-03,6.33936981e-03,-9.14248987e-04,8.79323035e-02,5
2.11597001e-03,6.33936981e-03,-9.14248987e-04,8.79323035e-02,5
1.13760005e-03,4.14907001e-03,-8.51793011e-05,8.78525972e-02,5
1.13760005e-03,4.14907001e-03,-8.51793011e-05,8.78525972e-02,5
1.37571001e-03,4.19516023e-03,-1.30539993e-04,8.79141986e-02,5
1.37571001e-03,4.19516023e-03,-1.30539993e-04,8.79141986e-02,5
4.71162988e-04,1.85612997e-03,-3.61743005e-05,8.77956972e-02,5
4.71162988e-04,1.85612997e-03,-3.61743005e-05,8.77956972e-02,5
7.78786978e-03,2.35696994e-02,-6.21173996e-03,8.81759003e-02,5
7.78786978e-03,2.35696994e-02,-6.21173996e-03,8.81759003e-02,5
3.92834004e-03,1.32785002e-02,-1.95213000e-03,8.79848003e-02,5
3.92834004e-03,1.32785002e-02,-1.95213000e-03,8.79848003e-02,5
4.50986996e-03,1.34621002e-02,-2.19761999e-03,8.80263001e-02,5
4.50986996e-03,1.34621002e-02,-2.19761999e-03,8.80263001e-02,5
1.84777996e-03,7.05478992e-03,-1.10335997e-03,8.78876969e-02,5
1.84777996e-03,7.05478992e-03,-1.10335997e-03,8.78876969e-02,5
3.77680990e-03,1.42783001e-02,-3.83205991e-03,8.79445001e-02,5
3.77680990e-03,1.42783001e-02,-3.83205991e-03,8.79445001e-02,5
5.65827009e-04,1.84902002e-03,-2.81224002e-05,8.78169984e-02,5
5.65827009e-04,1.84902002e-03,-2.81224002e-05,8.78169984e-02,5
5.41937014e-04,1.63198996e-03,-6.90090019e-06,8.78413022e-02,5
5.41937014e-04,1.63198996e-03,-6.90090019e-06,8.78413022e-02,5
1.32108002e-03,3.64997005e-03,-3.89424007e-04,8.79907981e-02,5
1.32108002e-03,3.64997005e-03,-3.89424007e-04,8.79907981e-02,5
3.98189016e-03,1.10069001e-02,-2.70099007e-03,8.80168974e-02,5
3.98189016e-03,1.10069001e-02,-2.70099007e-03,8.80168974e-02,5
3.46542010e-03,9.05361958e-03,-2.23595998e-03,8.80203024e-02,5
