"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.0095521,-0.028432,-0.0078199,0.041001,-0.016105,-0.010284,0.3189
0.009578,-0.028411,-0.007821,0.071283,-0.041544,-0.019424,0.31849
0.01085,-0.027354,-0.0077081,0.13619,-0.20184,-0.019977,0.28129
0.010863,-0.027343,-0.0077018,0.055769,-0.08092,-0.0075773,0.28515
0.01083,-0.027363,-0.0076372,0.096734,-0.14201,-0.017882,0.28505
0.010812,-0.02737,-0.0075652,0.14202,-0.22652,-0.037165,0.28822
0.010826,-0.027359,-0.0075645,0.065585,-0.10536,-0.016101,0.29172
0.010777,-0.027372,-0.0073153,0.12452,-0.2464,-0.048979,0.29225
0.01084,-0.027321,-0.0073156,0.081251,-0.17269,-0.03237,0.29655
0.010794,-0.027372,-0.0074411,0.13748,-0.24476,-0.046289,0.28849
0.010841,-0.027334,-0.007442,0.066762,-0.12496,-0.021185,0.29343
0.010835,-0.027311,-0.0071874,0.055216,-0.13903,-0.033984,0.29818
0.010872,-0.027268,-0.0070645,0.0037297,-0.018627,-0.0043841,0.31532
0.010832,-0.0273,-0.0070587,0.035776,-0.12118,-0.031138,0.30277
0.010694,-0.027373,-0.0066832,0.069548,-0.16182,-0.010347,0.30516
0.010702,-0.027367,-0.0066833,0.026466,-0.094805,-0.0084363,0.31372
0.010714,-0.027351,-0.0066301,0.026705,-0.079712,-0.005083,0.30877
0.010706,-0.027363,-0.0066783,0.0061322,-0.039095,-0.0032053,0.31447
0.010719,-0.027343,-0.0065979,0.032141,-0.084119,-0.0040459,0.30163
0.010679,-0.027371,-0.006557,0.030079,-0.08003,-0.0055403,0.30646
0.010709,-0.027347,-0.0065581,0.018727,-0.063205,-0.0051903,0.31348
0.0096787,-0.028178,-0.0064187,0.025746,-0.009707,0.0014927,0.31825
0.009721,-0.028143,-0.0064112,0.045619,-0.022035,0.0025555,0.31708
0.0098044,-0.028074,-0.0064097,0.092208,-0.055096,0.0029184,0.315
0.0098152,-0.028051,-0.006271,0.010746,-0.0049822,-0.0004878,0.31477
0.0098139,-0.028053,-0.0062873,0.029115,-0.013274,-0.00012033,0.31495
0.0097513,-0.028105,-0.0062904,0.018196,-0.0083753,7.5996e-05,0.31549
0.0097946,-0.028069,-0.0062809,0.0093386,-0.00432,-0.00021512,0.31551
0.010574,-0.027444,-0.0064232,0.036103,-0.080219,-0.0021095,0.30548
0.010594,-0.027425,-0.0064012,0.016859,-0.042751,-0.0028167,0.3055
0.010103,-0.028002,-0.008025,0.17932,-0.17733,-0.014982,0.30292
0.010122,-0.027987,-0.0080241,0.16719,-0.17987,-0.012541,0.3027
0.010116,-0.027991,-0.0080206,0.19466,-0.21737,-0.013666,0.30445
