"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.0045132,-0.022506,-0.0072507,0.03646,-0.032659,-0.016037,0.41955
0.0060141,-0.021615,-0.0072551,0.15655,-0.32637,-0.061993,0.41892
0.0059119,-0.021673,-0.0073624,0.15313,-0.31837,-0.055091,0.41765
0.0059113,-0.021679,-0.0071414,0.17477,-0.35208,-0.069391,0.41903
0.0062352,-0.021491,-0.0070048,0.14629,-0.29174,-0.063498,0.42555
0.0062691,-0.021471,-0.0070001,0.12326,-0.2351,-0.047574,0.42932
0.0062692,-0.021471,-0.0070053,0.12361,-0.23936,-0.049721,0.42878
0.0062646,-0.021473,-0.0070051,0.13982,-0.26641,-0.056869,0.42871
0.0062637,-0.021474,-0.007012,0.13404,-0.25973,-0.056516,0.42871
0.0062634,-0.021474,-0.0069994,0.1456,-0.2731,-0.057221,0.42872
0.0062836,-0.021462,-0.0069949,0.10091,-0.19711,-0.037926,0.42993
0.0052422,-0.022087,-0.0067681,0.11678,-0.20218,-0.043251,0.41699
0.0052419,-0.022088,-0.0067469,0.11973,-0.2079,-0.042287,0.41758
0.0052607,-0.022077,-0.0067471,0.12377,-0.22536,-0.045302,0.41661
0.0051828,-0.022122,-0.0067908,0.10882,-0.18187,-0.043081,0.41818
0.0052666,-0.022072,-0.0067712,0.12473,-0.22248,-0.043421,0.41581
0.0052648,-0.022075,-0.0067181,0.12281,-0.22824,-0.047183,0.41742
0.0057551,-0.021786,-0.0066409,0.17738,-0.34689,-0.082647,0.42083
0.0058944,-0.021705,-0.0065884,0.18455,-0.3533,-0.089167,0.42032
0.0057547,-0.021797,-0.0062459,0.17371,-0.29646,-0.086144,0.41929
0.0057551,-0.0218,-0.0061465,0.17089,-0.28893,-0.089274,0.41896
0.00569,-0.021834,-0.0063098,0.17032,-0.31757,-0.079027,0.42238
0.0058746,-0.021734,-0.0059742,0.026308,-0.039143,-0.013857,0.41418
0.0058382,-0.021755,-0.0059956,0.051026,-0.074582,-0.020477,0.41288
0.0058806,-0.02173,-0.0059813,0.051928,-0.081349,-0.023385,0.41497
0.0058454,-0.021752,-0.0059534,0.035078,-0.048811,-0.013642,0.41166
0.0058734,-0.021734,-0.0059779,0.026308,-0.039143,-0.013857,0.41418
0.0051777,-0.022149,-0.005914,0.091616,-0.17455,-0.077655,0.42636
0.0053536,-0.022046,-0.0058741,0.10322,-0.19143,-0.070908,0.42636
0.00538,-0.02203,-0.0058741,0.11455,-0.21285,-0.069099,0.42541
0.0053739,-0.022034,-0.0058809,0.11304,-0.21002,-0.070954,0.42464
0.0053825,-0.022029,-0.0058825,0.11858,-0.22051,-0.070198,0.42409
0.0053589,-0.022042,-0.0058864,0.10751,-0.19954,-0.071711,0.4252
0.0053822,-0.022029,-0.0058658,0.11052,-0.2052,-0.068,0.42673
0.005353,-0.022047,-0.005858,0.096782,-0.17926,-0.069704,0.42809
