"U:0","U:1","U:2","p","Cell Type"
3.86592001e-01,-4.40513998e-01,-2.78466009e-02,2.99255997e-01,5
3.86592001e-01,-4.40513998e-01,-2.78466009e-02,2.99255997e-01,5
3.93685997e-01,-4.43870008e-01,-3.27137001e-02,2.93558002e-01,5
3.93685997e-01,-4.43870008e-01,-3.27137001e-02,2.93558002e-01,5
3.40061009e-01,-4.33970004e-01,-3.48551013e-02,2.91875988e-01,5
3.40061009e-01,-4.33970004e-01,-3.48551013e-02,2.91875988e-01,5
3.45959008e-01,-4.42247003e-01,-4.01320010e-02,2.92117000e-01,5
3.45959008e-01,-4.42247003e-01,-4.01320010e-02,2.92117000e-01,5
3.60036999e-01,-4.44656014e-01,-3.20115983e-02,2.97708988e-01,5
3.60036999e-01,-4.44656014e-01,-3.20115983e-02,2.97708988e-01,5
3.62181008e-01,-4.53891009e-01,-3.77377011e-02,2.97509998e-01,5
3.62181008e-01,-4.53891009e-01,-3.77377011e-02,2.97509998e-01,5
3.96643013e-01,-4.55738991e-01,-3.48801985e-02,2.93246001e-01,5
3.96643013e-01,-4.55738991e-01,-3.48801985e-02,2.93246001e-01,5
1.62021995e-01,-1.58134997e-01,1.46793004e-03,3.20086986e-01,5
1.62021995e-01,-1.58134997e-01,1.46793004e-03,3.20086986e-01,5
1.62021995e-01,-1.58134997e-01,1.46793004e-03,3.20086986e-01,5
1.62021995e-01,-1.58134997e-01,1.46793004e-03,3.20086986e-01,5
2.43203998e-01,-2.25482002e-01,-7.34787015e-03,3.10528010e-01,5
2.43203998e-01,-2.25482002e-01,-7.34787015e-03,3.10528010e-01,5
2.43203998e-01,-2.25482002e-01,-7.34787015e-03,3.10528010e-01,5
2.15180993e-01,-2.07098007e-01,-5.73490001e-03,3.16202998e-01,5
2.15180993e-01,-2.07098007e-01,-5.73490001e-03,3.16202998e-01,5
2.15180993e-01,-2.07098007e-01,-5.73490001e-03,3.16202998e-01,5
2.15180993e-01,-2.07098007e-01,-5.73490001e-03,3.16202998e-01,5
1.87187999e-01,-1.78969994e-01,-2.15349998e-03,3.17328006e-01,5
1.87187999e-01,-1.78969994e-01,-2.15349998e-03,3.17328006e-01,5
9.77651030e-02,-7.07835034e-02,9.36606992e-03,3.18067014e-01,5
9.77651030e-02,-7.07835034e-02,9.36606992e-03,3.18067014e-01,5
1.21283002e-01,-8.91264975e-02,7.67588010e-03,3.16872001e-01,5
1.21283002e-01,-8.91264975e-02,7.67588010e-03,3.16872001e-01,5
1.71460003e-01,-1.57178000e-01,2.74282997e-04,3.16940993e-01,5
1.71460003e-01,-1.57178000e-01,2.74282997e-04,3.16940993e-01,5
3.17769982e-02,-1.92428995e-02,-3.57678998e-03,3.10633004e-01,5
3.17769982e-02,-1.92428995e-02,-3.57678998e-03,3.10633004e-01,5
1.42718002e-01,-2.21438006e-01,-2.09420994e-02,2.98386991e-01,5
1.42718002e-01,-2.21438006e-01,-2.09420994e-02,2.98386991e-01,5
1.42718002e-01,-2.21438006e-01,-2.09420994e-02,2.98386991e-01,5
1.77331999e-01,-2.35630006e-01,-1.16242003e-02,3.02612007e-01,5
1.77331999e-01,-2.35630006e-01,-1.16242003e-02,3.02612007e-01,5
1.77331999e-01,-2.35630006e-01,-1.16242003e-02,3.02612007e-01,5
