"U:0","U:1","U:2","p","Cell Type"
6.64955983e-03,-9.02958028e-03,-1.00750001e-02,4.06998008e-01,5
6.64955983e-03,-9.02958028e-03,-1.00750001e-02,4.06998008e-01,5
6.64955983e-03,-9.02958028e-03,-1.00750001e-02,4.06998008e-01,5
5.77937020e-03,-3.78919998e-03,-5.90714999e-03,4.07783985e-01,5
4.02869005e-03,-6.80800993e-03,-5.90740982e-03,4.05638009e-01,5
4.02869005e-03,-6.80800993e-03,-5.90740982e-03,4.05638009e-01,5
1.47220003e-03,-2.38950993e-03,-2.70824996e-03,4.07350987e-01,5
1.30321002e-02,-1.45814000e-02,-1.66004002e-02,4.07730997e-01,5
1.30321002e-02,-1.45814000e-02,-1.66004002e-02,4.07730997e-01,5
5.61443018e-03,-9.65316035e-03,-1.37553001e-02,4.05485004e-01,5
5.61443018e-03,-9.65316035e-03,-1.37553001e-02,4.05485004e-01,5
5.61443018e-03,-9.65316035e-03,-1.37553001e-02,4.05485004e-01,5
4.20500003e-02,-3.17870006e-02,-2.67389994e-02,4.04927999e-01,5
4.20500003e-02,-3.17870006e-02,-2.67389994e-02,4.04927999e-01,5
6.10641995e-03,-4.76349005e-03,-7.67148985e-03,4.03921992e-01,5
4.13517989e-02,-4.20617014e-02,-3.43113989e-02,4.05846000e-01,5
4.13517989e-02,-4.20617014e-02,-3.43113989e-02,4.05846000e-01,5
1.74569003e-02,-1.99408997e-02,-2.53665000e-02,4.06349987e-01,5
1.74569003e-02,-1.99408997e-02,-2.53665000e-02,4.06349987e-01,5
1.74569003e-02,-1.99408997e-02,-2.53665000e-02,4.06349987e-01,5
1.23343999e-02,-2.50713993e-02,-2.08950005e-02,4.03912991e-01,5
1.23343999e-02,-2.50713993e-02,-2.08950005e-02,4.03912991e-01,5
1.23343999e-02,-2.50713993e-02,-2.08950005e-02,4.03912991e-01,5
4.51678000e-02,-6.06998987e-02,-3.91248018e-02,4.04655010e-01,5
4.51678000e-02,-6.06998987e-02,-3.91248018e-02,4.04655010e-01,5
9.20861028e-03,-1.23822996e-02,-1.35573996e-02,4.01874006e-01,5
2.73038000e-02,-3.53545994e-02,-3.11296005e-02,4.06890005e-01,5
4.84788008e-02,-6.06122985e-02,-4.22087014e-02,4.07171011e-01,5
4.84788008e-02,-6.06122985e-02,-4.22087014e-02,4.07171011e-01,5
1.42481001e-02,-3.74877006e-02,-2.45294999e-02,4.02700990e-01,5
1.42481001e-02,-3.74877006e-02,-2.45294999e-02,4.02700990e-01,5
1.42481001e-02,-3.74877006e-02,-2.45294999e-02,4.02700990e-01,5
4.49506007e-02,-1.02959998e-01,-4.99280989e-02,4.04316992e-01,5
4.49506007e-02,-1.02959998e-01,-4.99280989e-02,4.04316992e-01,5
1.02084996e-02,-2.44260002e-02,-2.18413007e-02,4.00799006e-01,5
1.02084996e-02,-2.44260002e-02,-2.18413007e-02,4.00799006e-01,5
4.84931991e-02,-9.43451002e-02,-4.45111990e-02,4.04363006e-01,5
