"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.012034,0.027986,-0.025381,0.085522,0.014432,-0.034746,-0.0049361
0.011608,0.033794,-0.028695,0.085826,0.014489,-0.034715,-0.0048729
0.0072244,0.017571,-0.016462,0.086217,0.014419,-0.034744,-0.0048109
0.0040808,0.015124,-0.013151,0.08593,0.014426,-0.034741,-0.0048099
0.011691,0.037425,-0.028686,0.086322,0.014489,-0.034706,-0.0047477
0.0094776,0.031081,-0.02516,0.085985,0.014488,-0.034711,-0.0048099
0.0053248,0.018552,-0.015688,0.08628,0.014426,-0.034736,-0.0047483
0.0066996,0.016045,-0.014828,0.086531,0.014413,-0.034742,-0.0047488
0.0032122,0.0073801,-0.0083123,0.086351,0.014317,-0.034792,-0.0048116
0.0073134,0.016421,-0.016083,0.086301,0.014357,-0.034773,-0.0048115
0.0064804,0.013975,-0.013963,0.086774,0.014358,-0.034769,-0.0047493
0.0034193,0.0073982,-0.008398,0.086832,0.014326,-0.034784,-0.0047494
0.0032688,0.0058658,-0.0063952,0.08845,0.01436,-0.034755,-0.004563
0.0058518,0.011884,-0.010742,0.088245,0.014371,-0.03475,-0.004563
0.0034188,0.006616,-0.00747,0.087877,0.014344,-0.034767,-0.0046261
0.0074766,0.015335,-0.014508,0.087743,0.014362,-0.034758,-0.0046263
0.0053642,0.010591,-0.0093805,0.088499,0.014369,-0.034748,-0.0045297
0.0076656,0.017524,-0.014494,0.087746,0.014416,-0.03473,-0.004596
0.0066487,0.014168,-0.01303,0.087621,0.014399,-0.03474,-0.004624
0.0046282,0.012536,-0.010786,0.08722,0.014425,-0.034728,-0.0046225
0.0076984,0.020596,-0.015551,0.087536,0.01448,-0.034697,-0.0045571
0.0075254,0.019116,-0.014264,0.087936,0.014482,-0.034692,-0.0044962
0.0091621,0.021525,-0.016926,0.087871,0.014433,-0.034719,-0.0045471
0.007737,0.017728,-0.014369,0.088342,0.014425,-0.034719,-0.0044939
